Episode,Score,Total Steps,Death,Epsilon
1, 0, 7, Status.WALL, 1.0
2, 0, 19, Status.WALL, 0.995
3, 0, 6, Status.WALL, 0.990025
4, 0, 7, Status.WALL, 0.985074875
5, 0, 19, Status.WALL, 0.9801495006250001
6, 0, 8, Status.WALL, 0.9752487531218751
7, 0, 15, Status.WALL, 0.9703725093562657
8, 0, 8, Status.WALL, 0.9655206468094844
9, 0, 16, Status.WALL, 0.960693043575437
10, 0, 6, Status.WALL, 0.9558895783575597
11, 0, 5, Status.WALL, 0.9511101304657719
12, 0, 20, Status.WALL, 0.946354579813443
13, 0, 12, Status.WALL, 0.9416228069143757
14, 0, 23, Status.WALL, 0.9369146928798039
15, 0, 16, Status.WALL, 0.9322301194154049
16, 0, 6, Status.WALL, 0.9275689688183278
17, 1, 23, Status.WALL, 0.9229311239742362
18, 0, 16, Status.WALL, 0.918316468354365
19, 1, 12, Status.WALL, 0.9137248860125932
20, 0, 17, Status.WALL, 0.9091562615825302
21, 0, 9, Status.WALL, 0.9046104802746175
22, 0, 11, Status.WALL, 0.9000874278732445
23, 0, 39, Status.WALL, 0.8955869907338783
24, 0, 8, Status.WALL, 0.8911090557802088
25, 0, 24, Status.WALL, 0.8866535105013078
26, 1, 32, Status.SNAKE, 0.8822202429488013
27, 0, 16, Status.WALL, 0.8778091417340573
28, 0, 7, Status.WALL, 0.8734200960253871
29, 0, 4, Status.WALL, 0.8690529955452602
30, 0, 14, Status.WALL, 0.8647077305675338
31, 0, 7, Status.WALL, 0.8603841919146962
32, 0, 16, Status.WALL, 0.8560822709551227
33, 1, 26, Status.WALL, 0.851801859600347
34, 1, 6, Status.SNAKE, 0.8475428503023453
35, 0, 10, Status.WALL, 0.8433051360508336
36, 1, 7, Status.WALL, 0.8390886103705794
37, 0, 8, Status.WALL, 0.8348931673187264
38, 0, 11, Status.WALL, 0.8307187014821328
39, 0, 13, Status.WALL, 0.8265651079747222
40, 0, 14, Status.WALL, 0.8224322824348486
41, 1, 29, Status.SNAKE, 0.8183201210226743
42, 0, 14, Status.WALL, 0.8142285204175609
43, 0, 10, Status.WALL, 0.810157377815473
44, 0, 27, Status.WALL, 0.8061065909263957
45, 0, 34, Status.WALL, 0.8020760579717637
46, 0, 25, Status.WALL, 0.798065677681905
47, 0, 10, Status.WALL, 0.7940753492934954
48, 1, 5, Status.SNAKE, 0.7901049725470279
49, 0, 9, Status.WALL, 0.7861544476842928
50, 1, 6, Status.WALL, 0.7822236754458713
51, 0, 11, Status.WALL, 0.778312557068642
52, 0, 26, Status.WALL, 0.7744209942832988
53, 1, 13, Status.WALL, 0.7705488893118823
54, 0, 12, Status.WALL, 0.7666961448653229
55, 0, 5, Status.WALL, 0.7628626641409962
56, 1, 10, Status.SNAKE, 0.7590483508202912
57, 0, 7, Status.WALL, 0.7552531090661897
58, 0, 5, Status.WALL, 0.7514768435208588
59, 0, 7, Status.WALL, 0.7477194593032545
60, 0, 10, Status.WALL, 0.7439808620067382
61, 0, 39, Status.WALL, 0.7402609576967045
62, 0, 9, Status.WALL, 0.736559652908221
63, 1, 16, Status.SNAKE, 0.7328768546436799
64, 1, 18, Status.SNAKE, 0.7292124703704616
65, 0, 20, Status.WALL, 0.7255664080186093
66, 1, 10, Status.WALL, 0.7219385759785162
67, 0, 8, Status.WALL, 0.7183288830986236
68, 0, 16, Status.WALL, 0.7147372386831305
69, 0, 48, Status.WALL, 0.7111635524897149
70, 1, 3, Status.SNAKE, 0.7076077347272662
71, 0, 8, Status.WALL, 0.7040696960536299
72, 0, 7, Status.WALL, 0.7005493475733617
73, 1, 12, Status.WALL, 0.697046600835495
74, 2, 35, Status.WALL, 0.6935613678313175
75, 1, 4, Status.SNAKE, 0.6900935609921609
76, 0, 37, Status.WALL, 0.6866430931872001
77, 0, 6, Status.WALL, 0.6832098777212641
78, 0, 8, Status.WALL, 0.6797938283326578
79, 0, 26, Status.WALL, 0.6763948591909945
80, 0, 5, Status.WALL, 0.6730128848950395
81, 0, 11, Status.WALL, 0.6696478204705644
82, 0, 9, Status.WALL, 0.6662995813682115
83, 0, 30, Status.WALL, 0.6629680834613705
84, 1, 26, Status.WALL, 0.6596532430440636
85, 1, 14, Status.WALL, 0.6563549768288433
86, 1, 16, Status.SNAKE, 0.653073201944699
87, 0, 17, Status.WALL, 0.6498078359349755
88, 0, 10, Status.WALL, 0.6465587967553006
89, 1, 29, Status.WALL, 0.6433260027715241
90, 0, 6, Status.WALL, 0.6401093727576664
91, 1, 20, Status.WALL, 0.6369088258938781
92, 0, 15, Status.WALL, 0.6337242817644086
93, 0, 23, Status.WALL, 0.6305556603555866
94, 0, 17, Status.WALL, 0.6274028820538087
95, 1, 33, Status.WALL, 0.6242658676435396
96, 0, 12, Status.WALL, 0.6211445383053219
97, 0, 8, Status.WALL, 0.6180388156137953
98, 1, 7, Status.WALL, 0.6149486215357263
99, 0, 11, Status.WALL, 0.6118738784280476
100, 1, 14, Status.WALL, 0.6088145090359074
101, 1, 45, Status.WALL, 0.6057704364907278
