Run ID,Agent,Mean Score,Max Score,Mean Steps,Max Steps
1,Random Agent,0.12,3.0,9.5,77.0
1,Q-Learning,6.67,33.0,62.36,835.0
1,DQN (2 Layer),9.37,37.0,188.25,1300.0
2,Random Agent,0.12,3.0,9.33,100.0
2,Q-Learning,3.8,26.0,30.27,1000.0
2,DQN (2 Layer),8.22,29.0,56.58,213.0
3,Random Agent,0.11,4.0,9.21,93.0
3,Q-Learning,3.41,24.0,26.98,728.0
3,DQN (2 Layer),7.7,27.0,53.06,191.0
4,Random Agent,0.12,3.0,9.24,78.0
4,Q-Learning,3.98,25.0,29.89,663.0
4,DQN (2 Layer),7.77,29.0,54.82,222.0
5,Random Agent,0.12,3.0,9.05,91.0
5,Q-Learning,3.59,23.0,28.02,247.0
5,DQN (2 Layer),7.91,26.0,55.48,198.0
6,Random Agent,0.12,3.0,9.5,77.0
6,Q-Learning,6.67,33.0,62.36,835.0
6,DQN (3 Layer),9.23,25.5,190.98,820.0
7,Random Agent,0.12,3.0,9.33,100.0
7,Q-Learning,3.8,26.0,30.27,1000.0
7,DQN (3 Layer),8.0,28.0,55.45,194.0
8,Random Agent,0.11,4.0,9.21,93.0
8,Q-Learning,3.41,24.0,26.98,728.0
8,DQN (3 Layer),7.93,28.0,55.87,257.0
9,Random Agent,0.12,3.0,9.24,78.0
9,Q-Learning,3.98,25.0,29.89,663.0
9,DQN (3 Layer),8.2,25.0,56.45,191.0
10,Random Agent,0.12,3.0,9.05,91.0
10,Q-Learning,3.59,23.0,28.02,247.0
10,DQN (3 Layer),8.02,27.0,55.77,192.0
