Episode,Score,Total Steps,Death,Epsilon
1, 1, 7, Status.WALL, 1.0
2, 0, 5, Status.WALL, 0.999
3, 0, 9, Status.WALL, 0.998001
4, 0, 12, Status.WALL, 0.997002999
5, 0, 5, Status.WALL, 0.996005996001
6, 0, 5, Status.WALL, 0.995009990004999
7, 1, 10, Status.WALL, 0.994014980014994
8, 1, 11, Status.SNAKE, 0.993020965034979
9, 0, 11, Status.WALL, 0.9920279440699441
10, 0, 18, Status.WALL, 0.9910359161258742
11, 0, 13, Status.WALL, 0.9900448802097482
12, 1, 40, Status.WALL, 0.9890548353295385
13, 0, 7, Status.WALL, 0.988065780494209
14, 1, 8, Status.WALL, 0.9870777147137147
15, 0, 8, Status.WALL, 0.986090636999001
16, 0, 19, Status.WALL, 0.9851045463620021
17, 0, 19, Status.WALL, 0.98411944181564
18, 0, 7, Status.WALL, 0.9831353223738244
19, 0, 6, Status.WALL, 0.9821521870514506
20, 1, 8, Status.WALL, 0.9811700348643991
21, 1, 12, Status.WALL, 0.9801888648295347
22, 1, 16, Status.WALL, 0.9792086759647052
23, 0, 6, Status.WALL, 0.9782294672887405
24, 0, 8, Status.WALL, 0.9772512378214517
25, 0, 6, Status.WALL, 0.9762739865836303
26, 0, 19, Status.WALL, 0.9752977125970467
27, 0, 4, Status.WALL, 0.9743224148844496
28, 0, 7, Status.WALL, 0.9733480924695651
29, 0, 7, Status.WALL, 0.9723747443770956
30, 0, 31, Status.WALL, 0.9714023696327185
31, 0, 17, Status.WALL, 0.9704309672630859
32, 0, 20, Status.WALL, 0.9694605362958227
33, 0, 18, Status.WALL, 0.9684910757595269
34, 0, 11, Status.WALL, 0.9675225846837673
35, 0, 32, Status.WALL, 0.9665550620990835
36, 0, 8, Status.WALL, 0.9655885070369844
37, 1, 10, Status.SNAKE, 0.9646229185299474
38, 0, 53, Status.WALL, 0.9636582956114175
39, 1, 5, Status.SNAKE, 0.9626946373158061
40, 0, 38, Status.WALL, 0.9617319426784903
41, 0, 15, Status.WALL, 0.9607702107358118
42, 1, 6, Status.WALL, 0.959809440525076
43, 0, 5, Status.WALL, 0.9588496310845509
44, 0, 9, Status.WALL, 0.9578907814534664
45, 0, 9, Status.WALL, 0.9569328906720129
46, 1, 18, Status.SNAKE, 0.9559759577813409
47, 0, 8, Status.WALL, 0.9550199818235596
48, 1, 12, Status.SNAKE, 0.9540649618417361
49, 0, 31, Status.WALL, 0.9531108968798944
50, 0, 6, Status.WALL, 0.9521577859830145
51, 0, 12, Status.WALL, 0.9512056281970315
52, 0, 16, Status.WALL, 0.9502544225688344
53, 0, 9, Status.WALL, 0.9493041681462656
54, 0, 33, Status.WALL, 0.9483548639781193
55, 0, 6, Status.WALL, 0.9474065091141411
56, 0, 6, Status.WALL, 0.946459102605027
57, 0, 13, Status.WALL, 0.9455126435024219
58, 0, 19, Status.WALL, 0.9445671308589195
59, 1, 11, Status.WALL, 0.9436225637280606
60, 2, 12, Status.SNAKE, 0.9426789411643326
61, 0, 29, Status.WALL, 0.9417362622231683
62, 0, 13, Status.WALL, 0.9407945259609451
63, 0, 27, Status.WALL, 0.9398537314349842
64, 0, 17, Status.WALL, 0.9389138777035492
65, 0, 6, Status.WALL, 0.9379749638258457
66, 0, 19, Status.WALL, 0.9370369888620198
67, 0, 25, Status.WALL, 0.9360999518731578
68, 0, 7, Status.WALL, 0.9351638519212846
69, 0, 7, Status.WALL, 0.9342286880693633
70, 0, 7, Status.WALL, 0.933294459381294
71, 0, 16, Status.WALL, 0.9323611649219127
72, 0, 26, Status.WALL, 0.9314288037569908
73, 0, 7, Status.WALL, 0.9304973749532338
74, 0, 12, Status.WALL, 0.9295668775782806
75, 1, 10, Status.SNAKE, 0.9286373107007023
76, 0, 16, Status.WALL, 0.9277086733900016
77, 2, 9, Status.SNAKE, 0.9267809647166116
78, 0, 14, Status.WALL, 0.925854183751895
79, 0, 20, Status.WALL, 0.9249283295681431
80, 0, 9, Status.WALL, 0.9240034012385749
81, 0, 8, Status.WALL, 0.9230793978373364
82, 0, 10, Status.WALL, 0.9221563184394991
83, 0, 9, Status.WALL, 0.9212341621210596
84, 0, 12, Status.WALL, 0.9203129279589385
85, 1, 5, Status.SNAKE, 0.9193926150309796
86, 0, 11, Status.WALL, 0.9184732224159486
87, 1, 20, Status.WALL, 0.9175547491935327
88, 1, 12, Status.SNAKE, 0.9166371944443392
89, 0, 12, Status.WALL, 0.9157205572498949
90, 0, 8, Status.WALL, 0.914804836692645
91, 0, 29, Status.WALL, 0.9138900318559524
92, 0, 29, Status.WALL, 0.9129761418240965
93, 1, 14, Status.SNAKE, 0.9120631656822724
94, 0, 15, Status.WALL, 0.9111511025165902
95, 1, 4, Status.SNAKE, 0.9102399514140735
96, 2, 42, Status.WALL, 0.9093297114626595
97, 0, 10, Status.WALL, 0.9084203817511969
98, 0, 16, Status.WALL, 0.9075119613694457
99, 0, 19, Status.WALL, 0.9066044494080763
100, 0, 9, Status.WALL, 0.9056978449586682
101, 0, 18, Status.WALL, 0.9047921471137096
102, 0, 24, Status.WALL, 0.9038873549665959
103, 0, 8, Status.WALL, 0.9029834676116293
104, 0, 13, Status.WALL, 0.9020804841440176
105, 0, 5, Status.WALL, 0.9011784036598737
106, 1, 7, Status.WALL, 0.9002772252562138
107, 1, 13, Status.SNAKE, 0.8993769480309576
108, 0, 4, Status.WALL, 0.8984775710829266
109, 0, 7, Status.WALL, 0.8975790935118436
110, 0, 16, Status.WALL, 0.8966815144183318
111, 1, 10, Status.WALL, 0.8957848329039134
112, 1, 4, Status.SNAKE, 0.8948890480710096
113, 0, 19, Status.WALL, 0.8939941590229386
114, 0, 23, Status.WALL, 0.8931001648639156
115, 0, 10, Status.WALL, 0.8922070646990518
116, 0, 22, Status.WALL, 0.8913148576343527
117, 0, 7, Status.WALL, 0.8904235427767183
118, 1, 6, Status.SNAKE, 0.8895331192339416
119, 0, 7, Status.WALL, 0.8886435861147077
120, 0, 7, Status.WALL, 0.887754942528593
121, 0, 20, Status.WALL, 0.8868671875860644
122, 0, 8, Status.WALL, 0.8859803203984784
123, 0, 17, Status.WALL, 0.88509434007808
124, 1, 8, Status.WALL, 0.8842092457380019
125, 1, 15, Status.WALL, 0.8833250364922639
126, 0, 16, Status.WALL, 0.8824417114557717
127, 0, 11, Status.WALL, 0.8815592697443159
128, 1, 11, Status.WALL, 0.8806777104745716
129, 0, 7, Status.WALL, 0.8797970327640969
130, 0, 6, Status.WALL, 0.8789172357313328
131, 0, 21, Status.WALL, 0.8780383184956015
132, 0, 31, Status.WALL, 0.8771602801771059
133, 1, 11, Status.WALL, 0.8762831198969288
134, 0, 7, Status.WALL, 0.8754068367770318
135, 0, 8, Status.WALL, 0.8745314299402548
136, 1, 11, Status.SNAKE, 0.8736568985103146
137, 0, 17, Status.WALL, 0.8727832416118043
138, 1, 9, Status.WALL, 0.8719104583701925
139, 0, 18, Status.WALL, 0.8710385479118223
140, 0, 22, Status.WALL, 0.8701675093639105
141, 0, 7, Status.WALL, 0.8692973418545467
142, 1, 23, Status.SNAKE, 0.8684280445126921
143, 0, 11, Status.WALL, 0.8675596164681794
144, 0, 18, Status.WALL, 0.8666920568517111
145, 1, 13, Status.WALL, 0.8658253647948594
146, 1, 12, Status.WALL, 0.8649595394300645
147, 0, 9, Status.WALL, 0.8640945798906344
148, 1, 17, Status.SNAKE, 0.8632304853107438
149, 0, 6, Status.WALL, 0.862367254825433
150, 0, 10, Status.WALL, 0.8615048875706075
151, 0, 14, Status.WALL, 0.8606433826830369
152, 0, 7, Status.WALL, 0.8597827393003539
153, 1, 36, Status.WALL, 0.8589229565610536
154, 1, 17, Status.WALL, 0.8580640336044925
155, 0, 6, Status.WALL, 0.857205969570888
156, 1, 9, Status.WALL, 0.8563487636013172
157, 0, 21, Status.WALL, 0.8554924148377159
158, 1, 10, Status.WALL, 0.8546369224228781
159, 1, 8, Status.WALL, 0.8537822855004553
160, 0, 8, Status.WALL, 0.8529285032149548
161, 0, 15, Status.WALL, 0.8520755747117399
162, 1, 14, Status.WALL, 0.8512234991370281
163, 0, 14, Status.WALL, 0.8503722756378911
164, 1, 14, Status.WALL, 0.8495219033622532
165, 1, 29, Status.SNAKE, 0.8486723814588909
166, 1, 7, Status.WALL, 0.847823709077432
167, 0, 14, Status.WALL, 0.8469758853683546
168, 0, 13, Status.WALL, 0.8461289094829862
169, 0, 9, Status.WALL, 0.8452827805735033
170, 0, 13, Status.WALL, 0.8444374977929298
171, 0, 7, Status.WALL, 0.8435930602951368
172, 0, 11, Status.WALL, 0.8427494672348417
173, 1, 24, Status.WALL, 0.8419067177676068
174, 2, 25, Status.WALL, 0.8410648110498392
175, 0, 21, Status.WALL, 0.8402237462387894
176, 0, 14, Status.WALL, 0.8393835224925505
177, 0, 6, Status.WALL, 0.838544138970058
178, 0, 11, Status.WALL, 0.8377055948310879
179, 2, 26, Status.WALL, 0.8368678892362568
180, 0, 17, Status.WALL, 0.8360310213470206
181, 1, 25, Status.SNAKE, 0.8351949903256736
182, 1, 28, Status.SNAKE, 0.8343597953353479
183, 0, 24, Status.WALL, 0.8335254355400126
184, 0, 12, Status.WALL, 0.8326919101044725
185, 1, 25, Status.WALL, 0.831859218194368
186, 0, 6, Status.WALL, 0.8310273589761736
187, 0, 13, Status.WALL, 0.8301963316171974
188, 0, 8, Status.WALL, 0.8293661352855802
189, 1, 13, Status.SNAKE, 0.8285367691502946
190, 0, 8, Status.WALL, 0.8277082323811443
191, 1, 11, Status.SNAKE, 0.8268805241487632
192, 0, 9, Status.WALL, 0.8260536436246144
193, 1, 27, Status.WALL, 0.8252275899809898
194, 0, 16, Status.WALL, 0.8244023623910088
195, 0, 44, Status.WALL, 0.8235779600286178
196, 1, 7, Status.SNAKE, 0.8227543820685892
197, 0, 18, Status.WALL, 0.8219316276865206
198, 0, 7, Status.WALL, 0.8211096960588341
199, 0, 18, Status.WALL, 0.8202885863627752
200, 1, 26, Status.SNAKE, 0.8194682977764125
201, 3, 15, Status.WALL, 0.818648829478636
202, 0, 11, Status.WALL, 0.8178301806491574
203, 0, 47, Status.WALL, 0.8170123504685082
204, 0, 8, Status.WALL, 0.8161953381180397
205, 0, 6, Status.WALL, 0.8153791427799216
206, 0, 12, Status.WALL, 0.8145637636371417
207, 1, 20, Status.WALL, 0.8137491998735046
208, 0, 10, Status.WALL, 0.812935450673631
209, 0, 6, Status.WALL, 0.8121225152229574
210, 0, 18, Status.WALL, 0.8113103927077344
211, 0, 7, Status.WALL, 0.8104990823150267
212, 0, 7, Status.WALL, 0.8096885832327116
213, 0, 13, Status.WALL, 0.8088788946494789
214, 0, 4, Status.WALL, 0.8080700157548294
215, 0, 6, Status.WALL, 0.8072619457390746
216, 1, 15, Status.SNAKE, 0.8064546837933355
217, 1, 18, Status.SNAKE, 0.8056482291095421
218, 0, 14, Status.WALL, 0.8048425808804326
219, 0, 11, Status.WALL, 0.8040377382995522
220, 1, 7, Status.WALL, 0.8032337005612527
221, 0, 13, Status.WALL, 0.8024304668606914
222, 0, 23, Status.WALL, 0.8016280363938307
223, 0, 9, Status.WALL, 0.8008264083574369
224, 1, 6, Status.SNAKE, 0.8000255819490795
225, 0, 8, Status.WALL, 0.7992255563671304
226, 0, 7, Status.WALL, 0.7984263308107633
227, 0, 12, Status.WALL, 0.7976279044799526
228, 0, 11, Status.WALL, 0.7968302765754727
229, 1, 22, Status.WALL, 0.7960334462988972
230, 1, 13, Status.WALL, 0.7952374128525983
231, 0, 31, Status.WALL, 0.7944421754397457
232, 0, 8, Status.WALL, 0.7936477332643059
233, 0, 17, Status.WALL, 0.7928540855310416
234, 0, 13, Status.WALL, 0.7920612314455105
235, 1, 30, Status.WALL, 0.7912691702140651
236, 0, 18, Status.WALL, 0.790477901043851
237, 0, 13, Status.WALL, 0.7896874231428072
238, 0, 12, Status.WALL, 0.7888977357196644
239, 0, 8, Status.WALL, 0.7881088379839447
240, 1, 14, Status.WALL, 0.7873207291459607
241, 1, 13, Status.SNAKE, 0.7865334084168147
242, 0, 6, Status.WALL, 0.7857468750083979
