obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,action,reward,next_obs_0,next_obs_1,next_obs_2,next_obs_3,next_obs_4,next_obs_5,next_obs_6,next_obs_7,next_obs_8,next_obs_9,next_obs_10,done
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,-1.5,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,-1.5,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,-1.5,0,1,0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,1,-1.5,0,1,0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,2,-1.5,0,0,1,0,1,0,0,1,1,0,0,0
0,0,1,0,1,0,0,1,1,0,0,1,-11.5,0,0,1,0,1,0,0,1,1,1,1,1
1,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,2,-1.5,0,1,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,0,2,1.0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,1,0,0,0,1,1,1.0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,2,1.0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,1,0,1,0,0,0,0,2,-1.5,0,0,0,1,1,0,1,0,0,0,1,0
0,0,0,1,1,0,1,0,0,0,1,1,-1.5,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,2,-1.5,0,1,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,-1.5,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,1,-1.5,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,1,1,0,1,0,1,0,0,1,-11.5,0,0,0,1,1,0,1,0,1,1,1,1
1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,1.0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,0,1,0,0,0,1,0,1,0,2,-1.5,0,1,0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,1,-1.5,0,1,0,0,1,0,0,1,1,0,0,0
0,1,0,0,1,0,0,1,1,0,0,1,-11.5,0,1,0,0,1,0,0,1,1,1,1,1
1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,1,-1.5,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,-1.5,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,1,0,0,1,1,0,0,1,0,0
0,0,1,0,0,1,1,0,0,1,0,2,-1.5,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,1,0,0,1,1,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,1.0,0,1,0,0,0,1,1,0,0,1,0,0
0,1,0,0,0,1,1,0,0,1,0,1,1.0,0,1,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,0,-1.5,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,2,1.0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1,-1.5,0,1,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,1,0,0,0,0,2,1.0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,2,1.0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,1,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,1,1.0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,2,-1.5,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,1,0,0,1,1,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,2,-1.5,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,1,-1.5,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,1,-1.5,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,2,-1.5,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,1,-1.5,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,2,1.0,0,1,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,2,1.0,0,0,1,0,0,1,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,1,1,1.0,0,0,1,0,0,1,1,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,2,-1.5,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,0,1.0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,1,0,0,1,0,0,1,0,0,2,-1.5,1,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,1,0,0,1,1,0,0,-11.5,0,0,1,0,0,1,0,1,1,1,1,1
1,0,0,0,1,0,0,1,1,0,0,1,-10,1,0,0,0,1,0,0,1,1,0,0,1
1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,1,-1.5,0,0,0,1,0,1,1,0,0,0,0,0
