Episode,Score,Total Steps,Death
1,0,1,SNAKE
2,0,1,SNAKE
3,0,1,SNAKE
4,0,1,SNAKE
5,0,9,WALL
6,0,1,SNAKE
7,0,23,WALL
8,1,9,WALL
9,0,13,WALL
10,0,4,WALL
11,1,3,SNAKE
12,1,10,WALL
13,0,5,WALL
14,0,1,SNAKE
15,0,7,WALL
16,0,9,WALL
17,0,1,SNAKE
18,0,23,WALL
19,0,1,SNAKE
20,0,7,WALL
21,0,7,WALL
22,0,1,SNAKE
23,0,12,WALL
24,0,1,SNAKE
25,0,7,WALL
26,0,1,SNAKE
27,0,1,SNAKE
28,0,7,WALL
29,0,1,SNAKE
30,0,11,WALL
31,0,22,WALL
32,0,33,WALL
33,0,8,WALL
34,0,21,WALL
35,0,13,WALL
36,0,1,SNAKE
37,0,25,WALL
38,0,1,SNAKE
39,0,5,WALL
40,0,1,SNAKE
41,0,1,SNAKE
42,0,1,SNAKE
43,0,12,WALL
44,0,12,WALL
45,0,13,WALL
46,0,27,WALL
47,0,11,WALL
48,0,1,SNAKE
49,0,13,WALL
50,0,7,WALL
51,0,5,WALL
52,0,18,WALL
53,0,1,SNAKE
54,0,1,SNAKE
55,0,1,SNAKE
56,0,5,WALL
57,0,6,WALL
58,0,13,WALL
59,0,12,WALL
60,0,20,WALL
61,0,1,SNAKE
62,0,22,WALL
63,0,8,WALL
64,0,26,WALL
65,0,24,WALL
66,0,25,WALL
67,0,1,SNAKE
68,1,7,WALL
69,0,1,SNAKE
70,0,10,WALL
71,0,10,WALL
72,0,7,WALL
73,0,14,WALL
74,0,29,WALL
75,0,10,WALL
76,0,1,SNAKE
77,0,1,SNAKE
78,0,9,WALL
79,0,1,SNAKE
80,0,9,WALL
81,0,1,SNAKE
82,0,22,WALL
83,0,11,WALL
84,0,7,WALL
85,0,11,WALL
86,0,8,WALL
87,1,14,SNAKE
88,0,31,WALL
89,0,6,WALL
90,0,15,WALL
91,0,6,WALL
92,0,8,WALL
93,1,7,SNAKE
